Date,Category,Amount,Type
2020-01-01 00:00:00.000000,Entertainment,476.34,Expense
2020-01-02 05:14:07.765176,Investment,307.36,Expense
2020-01-03 10:28:15.530353,Travel,480.79,Expense
2020-01-04 15:42:23.295530,Food & Drink,435.76,Expense
2020-01-05 20:56:31.060707,Utilities,359.87,Expense
2020-01-07 02:10:38.825883,Food & Drink,485.56,Expense
2020-01-08 07:24:46.591060,Other,121.92,Expense
2020-01-09 12:38:54.356237,Travel,530.13,Expense
2020-01-10 17:53:02.121414,Rent,1167.33,Expense
2020-01-11 23:07:09.886591,Entertainment,159.79,Expense
2020-01-13 04:21:17.651767,Utilities,86.96,Expense
2020-01-14 09:35:25.416944,Rent,1056.45,Expense
2020-01-15 14:49:33.182121,Shopping,396.88,Expense
2020-01-16 20:03:40.947298,Travel,1125.62,Expense
2020-01-18 01:17:48.712474,Utilities,42.3,Expense
2020-01-19 06:31:56.477651,Utilities,101.85,Expense
2020-01-20 11:46:04.242828,Food & Drink,475.47,Expense
2020-01-21 17:00:12.008005,Salary,5616.79,Income
2020-01-22 22:14:19.773182,Rent,868.37,Expense
2020-01-24 03:28:27.538358,Health & Fitness,231.27,Expense
2020-01-25 08:42:35.303535,Food & Drink,257.68,Expense
2020-01-26 13:56:43.068712,Food & Drink,456.47,Expense
2020-01-27 19:10:50.833889,Rent,1263.77,Expense
2020-01-29 00:24:58.599066,Rent,1164.05,Expense
2020-01-30 05:39:06.364242,Shopping,108.73,Expense
2020-01-31 10:53:14.129419,Salary,5550.27,Income
2020-02-01 16:07:21.894596,Salary,5789.65,Income
2020-02-02 21:21:29.659773,Utilities,462.5,Expense
2020-02-04 02:35:37.424949,Food & Drink,114.07,Expense
2020-02-05 07:49:45.190126,Food & Drink,176.16,Expense
2020-02-06 13:03:52.955303,Entertainment,150.25,Expense
2020-02-07 18:18:00.720480,Other,191.24,Expense
2020-02-08 23:32:08.485657,Rent,1179.89,Expense
2020-02-10 04:46:16.250833,Food & Drink,405.05,Expense
2020-02-11 10:00:24.016010,Food & Drink,493.71,Expense
2020-02-12 15:14:31.781187,Investment,115.38,Expense
2020-02-13 20:28:39.546364,Food & Drink,411.42,Expense
2020-02-15 01:42:47.311541,Health & Fitness,369.92,Expense
2020-02-16 06:56:55.076717,Investment,55.54,Expense
2020-02-17 12:11:02.841894,Rent,881.11,Expense
2020-02-18 17:25:10.607071,Salary,5246.6,Income
2020-02-19 22:39:18.372248,Rent,844.49,Expense
2020-02-21 03:53:26.137424,Rent,1027.63,Expense
2020-02-22 09:07:33.902601,Investment,326.03,Expense
2020-02-23 14:21:41.667778,Salary,4944.43,Income
2020-02-24 19:35:49.432955,Food & Drink,362.36,Expense
2020-02-26 00:49:57.198132,Investment,289.41,Expense
2020-02-27 06:04:04.963308,Investment,257.02,Expense
2020-02-28 11:18:12.728485,Shopping,225.22,Expense
2020-02-29 16:32:20.493662,Food & Drink,71.79,Expense
2020-03-01 21:46:28.258839,Food & Drink,325.48,Expense
2020-03-03 03:00:36.024016,Rent,1156.0,Expense
2020-03-04 08:14:43.789192,Salary,4498.58,Income
2020-03-05 13:28:51.554369,Entertainment,382.66,Expense
2020-03-06 18:42:59.319546,Travel,338.56,Expense
